link,price,description
https://www.kufar.by/item/44616055?searchId=90be7be1cad94eec007c6ac3679a6efdecc8,350,"Стол письменный по дизайну икея мальм ikea malmМинск, Фрунзенский"
https://www.kufar.by/item/183624389?searchId=90be7be1cad94eec007c6ac3679a6efdecc8,1500,"Кровать с матрасом 160х220Минск, Первомайский"
https://www.kufar.by/item/200390050?rank=0&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,20,"Зеркало, трюмоБрест"
https://www.kufar.by/item/182907264?rank=1&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,300,"Комод К-28 800*440*1200Минск, СоветскийДоставка по Беларуси"
https://www.kufar.by/item/200391345?rank=2&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,50,Детская кроваткаВитебск
https://www.kufar.by/item/200391342?rank=3&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,30,СервантГродно
https://www.kufar.by/item/192428755?rank=4&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,250,"Стол письменный СТ-8Минск, СоветскийДоставка по Беларуси"
https://www.kufar.by/item/200391325?rank=5&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,20,"Комод Брестская, Барановичи"
https://www.kufar.by/item/200391314?rank=6&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,150,"Кровать с матрасомМинск, Фрунзенский"
https://www.kufar.by/item/197981804?rank=7&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,50,"Мебель Гомельская, Лоев"
https://www.kufar.by/item/200391293?rank=8&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,30,"СтолМинск, Советский"
https://www.kufar.by/item/200391245?rank=9&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,85,"Стул-вырастайкаМинск, Октябрьский"
https://www.kufar.by/item/200391237?rank=10&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,20,"Тумба под телевизорВитебская, Полоцк"
https://www.kufar.by/item/200389891?rank=11&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,50,"Компьютерный стул, угловой стол. Брест"
https://www.kufar.by/item/78009958?rank=12&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,1260,КУХНИ НА ЗАКАЗ НЕДОРОГО И БЫСТРО вопросы по телефоВитебскДоставкаРассрочка
https://www.kufar.by/item/200391194?rank=13&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,130,"ДиванМинск, Московский"
https://www.kufar.by/item/200391149?rank=14&searchId=90be7be1cad94eec007c6ac3679a6efdecc8,250,"ШкафБрестская, Барановичи"
